,T.NAGAR,SAIDAPET  ,GUINDY    ,CONCORDE  ,JN.OF R.C ,GURUNANAK ,VELACHERY ,TARAMANI  ,ANNA UNIVE,WPTC      ,SRP TOOLS ,KANDANCHAV,THORAIPAKK,MOOTAIKARA,KARAPAKKAM,SHOZHINGAN,KUMARAN NA,NUCLEUS CO,PERUMBAKKA,CHEMMANCHE,NAVALUR   ,CHURCH    ,SIRUCHERI ,PAL. CHEMI,HINDUSTAN ,KELAMBAKKA,CHENGAMMAL,KALAVAKKAM,THIRUPPORU,TripStartDate,Depot,Source,Destination,Direction,Schedule_Name,Route,Service_type,ETMNO,FLEETNO,TripNo,TripStartTime,TripEndTime,First_Ticket_Stage
JN.OF R.C ,-1.0,-1.0,-1.0,-1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,20052019,SAIDAPET  ,SAIDAPET  ,SIRUCHERI ,UP,19B-T-AM-MDE,19B,MDE,MP15458A,J1000,3,2020-06-23 07:41:11,0.36193287,
GURUNANAK ,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,20052019,SAIDAPET  ,SAIDAPET  ,SIRUCHERI ,UP,19B-T-AM-MDE,19B,MDE,MP15458A,J1000,3,2020-06-23 07:41:11,0.36193287,
VELACHERY ,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,20052019,SAIDAPET  ,SAIDAPET  ,SIRUCHERI ,UP,19B-T-AM-MDE,19B,MDE,MP15458A,J1000,3,2020-06-23 07:41:11,0.36193287,
TARAMANI  ,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,20052019,SAIDAPET  ,SAIDAPET  ,SIRUCHERI ,UP,19B-T-AM-MDE,19B,MDE,MP15458A,J1000,3,2020-06-23 07:41:11,0.36193287,
ANNA UNIVE,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,7.233333333333333,-2.0,-2.0,20.966666666666665,-2.0,27.15,32.05,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,20052019,SAIDAPET  ,SAIDAPET  ,SIRUCHERI ,UP,19B-T-AM-MDE,19B,MDE,MP15458A,J1000,3,2020-06-23 07:41:11,0.36193287,2020-06-23 07:51:32
WPTC      ,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-2.0,-2.0,13.733333333333333,-2.0,19.916666666666668,24.816666666666666,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,20052019,SAIDAPET  ,SAIDAPET  ,SIRUCHERI ,UP,19B-T-AM-MDE,19B,MDE,MP15458A,J1000,3,2020-06-23 07:41:11,0.36193287,2020-06-23 07:58:46
SRP TOOLS ,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,20052019,SAIDAPET  ,SAIDAPET  ,SIRUCHERI ,UP,19B-T-AM-MDE,19B,MDE,MP15458A,J1000,3,2020-06-23 07:41:11,0.36193287,
KANDANCHAV,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,20052019,SAIDAPET  ,SAIDAPET  ,SIRUCHERI ,UP,19B-T-AM-MDE,19B,MDE,MP15458A,J1000,3,2020-06-23 07:41:11,0.36193287,
THORAIPAKK,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-2.0,6.183333333333334,11.083333333333334,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,20052019,SAIDAPET  ,SAIDAPET  ,SIRUCHERI ,UP,19B-T-AM-MDE,19B,MDE,MP15458A,J1000,3,2020-06-23 07:41:11,0.36193287,2020-06-23 08:12:30
MOOTAIKARA,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,20052019,SAIDAPET  ,SAIDAPET  ,SIRUCHERI ,UP,19B-T-AM-MDE,19B,MDE,MP15458A,J1000,3,2020-06-23 07:41:11,0.36193287,
KARAPAKKAM,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,4.9,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,20052019,SAIDAPET  ,SAIDAPET  ,SIRUCHERI ,UP,19B-T-AM-MDE,19B,MDE,MP15458A,J1000,3,2020-06-23 07:41:11,0.36193287,2020-06-23 08:18:41
SHOZHINGAN,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,20052019,SAIDAPET  ,SAIDAPET  ,SIRUCHERI ,UP,19B-T-AM-MDE,19B,MDE,MP15458A,J1000,3,2020-06-23 07:41:11,0.36193287,2020-06-23 08:23:35
KUMARAN NA,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,20052019,SAIDAPET  ,SAIDAPET  ,SIRUCHERI ,UP,19B-T-AM-MDE,19B,MDE,MP15458A,J1000,3,2020-06-23 07:41:11,0.36193287,
NUCLEUS CO,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,20052019,SAIDAPET  ,SAIDAPET  ,SIRUCHERI ,UP,19B-T-AM-MDE,19B,MDE,MP15458A,J1000,3,2020-06-23 07:41:11,0.36193287,
PERUMBAKKA,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,20052019,SAIDAPET  ,SAIDAPET  ,SIRUCHERI ,UP,19B-T-AM-MDE,19B,MDE,MP15458A,J1000,3,2020-06-23 07:41:11,0.36193287,
CHEMMANCHE,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,20052019,SAIDAPET  ,SAIDAPET  ,SIRUCHERI ,UP,19B-T-AM-MDE,19B,MDE,MP15458A,J1000,3,2020-06-23 07:41:11,0.36193287,
NAVALUR   ,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,20052019,SAIDAPET  ,SAIDAPET  ,SIRUCHERI ,UP,19B-T-AM-MDE,19B,MDE,MP15458A,J1000,3,2020-06-23 07:41:11,0.36193287,
CHURCH    ,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,20052019,SAIDAPET  ,SAIDAPET  ,SIRUCHERI ,UP,19B-T-AM-MDE,19B,MDE,MP15458A,J1000,3,2020-06-23 07:41:11,0.36193287,
SIRUCHERI ,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,20052019,SAIDAPET  ,SAIDAPET  ,SIRUCHERI ,UP,19B-T-AM-MDE,19B,MDE,MP15458A,J1000,3,2020-06-23 07:41:11,0.36193287,
PAL. CHEMI,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,20052019,SAIDAPET  ,SAIDAPET  ,SIRUCHERI ,UP,19B-T-AM-MDE,19B,MDE,MP15458A,J1000,3,2020-06-23 07:41:11,0.36193287,
HINDUSTAN ,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-2.0,-2.0,-2.0,-2.0,20052019,SAIDAPET  ,SAIDAPET  ,SIRUCHERI ,UP,19B-T-AM-MDE,19B,MDE,MP15458A,J1000,3,2020-06-23 07:41:11,0.36193287,
KELAMBAKKA,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-2.0,-2.0,-2.0,20052019,SAIDAPET  ,SAIDAPET  ,SIRUCHERI ,UP,19B-T-AM-MDE,19B,MDE,MP15458A,J1000,3,2020-06-23 07:41:11,0.36193287,
CHENGAMMAL,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-2.0,-2.0,20052019,SAIDAPET  ,SAIDAPET  ,SIRUCHERI ,UP,19B-T-AM-MDE,19B,MDE,MP15458A,J1000,3,2020-06-23 07:41:11,0.36193287,
KALAVAKKAM,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-2.0,20052019,SAIDAPET  ,SAIDAPET  ,SIRUCHERI ,UP,19B-T-AM-MDE,19B,MDE,MP15458A,J1000,3,2020-06-23 07:41:11,0.36193287,
THIRUPPORU,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,20052019,SAIDAPET  ,SAIDAPET  ,SIRUCHERI ,UP,19B-T-AM-MDE,19B,MDE,MP15458A,J1000,3,2020-06-23 07:41:11,0.36193287,
T.NAGAR,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,20052019,SAIDAPET  ,SAIDAPET  ,SIRUCHERI ,UP,19B-T-AM-MDE,19B,MDE,MP15458A,J1000,9,2020-06-23 16:25:15,0.7230902779999999,
SAIDAPET  ,-1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,7.85,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,39.43333333333333,-2.0,-2.0,-2.0,-2.0,-2.0,52.68333333333333,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,20052019,SAIDAPET  ,SAIDAPET  ,SIRUCHERI ,UP,19B-T-AM-MDE,19B,MDE,MP15458A,J1000,9,2020-06-23 16:25:15,0.7230902779999999,2020-06-23 16:25:25
GUINDY    ,-1.0,-1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,20052019,SAIDAPET  ,SAIDAPET  ,SIRUCHERI ,UP,19B-T-AM-MDE,19B,MDE,MP15458A,J1000,9,2020-06-23 16:25:15,0.7230902779999999,
CONCORDE  ,-1.0,-1.0,-1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,20052019,SAIDAPET  ,SAIDAPET  ,SIRUCHERI ,UP,19B-T-AM-MDE,19B,MDE,MP15458A,J1000,9,2020-06-23 16:25:15,0.7230902779999999,
JN.OF R.C ,-1.0,-1.0,-1.0,-1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,20052019,SAIDAPET  ,SAIDAPET  ,SIRUCHERI ,UP,19B-T-AM-MDE,19B,MDE,MP15458A,J1000,9,2020-06-23 16:25:15,0.7230902779999999,
GURUNANAK ,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,20052019,SAIDAPET  ,SAIDAPET  ,SIRUCHERI ,UP,19B-T-AM-MDE,19B,MDE,MP15458A,J1000,9,2020-06-23 16:25:15,0.7230902779999999,
VELACHERY ,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,20052019,SAIDAPET  ,SAIDAPET  ,SIRUCHERI ,UP,19B-T-AM-MDE,19B,MDE,MP15458A,J1000,9,2020-06-23 16:25:15,0.7230902779999999,
TARAMANI  ,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,20052019,SAIDAPET  ,SAIDAPET  ,SIRUCHERI ,UP,19B-T-AM-MDE,19B,MDE,MP15458A,J1000,9,2020-06-23 16:25:15,0.7230902779999999,
ANNA UNIVE,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,31.583333333333332,-2.0,-2.0,-2.0,-2.0,-2.0,44.833333333333336,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,20052019,SAIDAPET  ,SAIDAPET  ,SIRUCHERI ,UP,19B-T-AM-MDE,19B,MDE,MP15458A,J1000,9,2020-06-23 16:25:15,0.7230902779999999,2020-06-23 16:33:16
WPTC      ,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,20052019,SAIDAPET  ,SAIDAPET  ,SIRUCHERI ,UP,19B-T-AM-MDE,19B,MDE,MP15458A,J1000,9,2020-06-23 16:25:15,0.7230902779999999,
SRP TOOLS ,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,20052019,SAIDAPET  ,SAIDAPET  ,SIRUCHERI ,UP,19B-T-AM-MDE,19B,MDE,MP15458A,J1000,9,2020-06-23 16:25:15,0.7230902779999999,
KANDANCHAV,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,20052019,SAIDAPET  ,SAIDAPET  ,SIRUCHERI ,UP,19B-T-AM-MDE,19B,MDE,MP15458A,J1000,9,2020-06-23 16:25:15,0.7230902779999999,
THORAIPAKK,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,20052019,SAIDAPET  ,SAIDAPET  ,SIRUCHERI ,UP,19B-T-AM-MDE,19B,MDE,MP15458A,J1000,9,2020-06-23 16:25:15,0.7230902779999999,
MOOTAIKARA,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,20052019,SAIDAPET  ,SAIDAPET  ,SIRUCHERI ,UP,19B-T-AM-MDE,19B,MDE,MP15458A,J1000,9,2020-06-23 16:25:15,0.7230902779999999,
KARAPAKKAM,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,20052019,SAIDAPET  ,SAIDAPET  ,SIRUCHERI ,UP,19B-T-AM-MDE,19B,MDE,MP15458A,J1000,9,2020-06-23 16:25:15,0.7230902779999999,
SHOZHINGAN,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,13.25,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,20052019,SAIDAPET  ,SAIDAPET  ,SIRUCHERI ,UP,19B-T-AM-MDE,19B,MDE,MP15458A,J1000,9,2020-06-23 16:25:15,0.7230902779999999,2020-06-23 17:04:51
KUMARAN NA,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,20052019,SAIDAPET  ,SAIDAPET  ,SIRUCHERI ,UP,19B-T-AM-MDE,19B,MDE,MP15458A,J1000,9,2020-06-23 16:25:15,0.7230902779999999,
NUCLEUS CO,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,20052019,SAIDAPET  ,SAIDAPET  ,SIRUCHERI ,UP,19B-T-AM-MDE,19B,MDE,MP15458A,J1000,9,2020-06-23 16:25:15,0.7230902779999999,
PERUMBAKKA,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,20052019,SAIDAPET  ,SAIDAPET  ,SIRUCHERI ,UP,19B-T-AM-MDE,19B,MDE,MP15458A,J1000,9,2020-06-23 16:25:15,0.7230902779999999,
CHEMMANCHE,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,20052019,SAIDAPET  ,SAIDAPET  ,SIRUCHERI ,UP,19B-T-AM-MDE,19B,MDE,MP15458A,J1000,9,2020-06-23 16:25:15,0.7230902779999999,
NAVALUR   ,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,20052019,SAIDAPET  ,SAIDAPET  ,SIRUCHERI ,UP,19B-T-AM-MDE,19B,MDE,MP15458A,J1000,9,2020-06-23 16:25:15,0.7230902779999999,
CHURCH    ,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,20052019,SAIDAPET  ,SAIDAPET  ,SIRUCHERI ,UP,19B-T-AM-MDE,19B,MDE,MP15458A,J1000,9,2020-06-23 16:25:15,0.7230902779999999,2020-06-23 17:18:06
SIRUCHERI ,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,20052019,SAIDAPET  ,SAIDAPET  ,SIRUCHERI ,UP,19B-T-AM-MDE,19B,MDE,MP15458A,J1000,9,2020-06-23 16:25:15,0.7230902779999999,
PAL. CHEMI,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,20052019,SAIDAPET  ,SAIDAPET  ,SIRUCHERI ,UP,19B-T-AM-MDE,19B,MDE,MP15458A,J1000,9,2020-06-23 16:25:15,0.7230902779999999,
HINDUSTAN ,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-2.0,-2.0,-2.0,-2.0,20052019,SAIDAPET  ,SAIDAPET  ,SIRUCHERI ,UP,19B-T-AM-MDE,19B,MDE,MP15458A,J1000,9,2020-06-23 16:25:15,0.7230902779999999,
KELAMBAKKA,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-2.0,-2.0,-2.0,20052019,SAIDAPET  ,SAIDAPET  ,SIRUCHERI ,UP,19B-T-AM-MDE,19B,MDE,MP15458A,J1000,9,2020-06-23 16:25:15,0.7230902779999999,
CHENGAMMAL,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-2.0,-2.0,20052019,SAIDAPET  ,SAIDAPET  ,SIRUCHERI ,UP,19B-T-AM-MDE,19B,MDE,MP15458A,J1000,9,2020-06-23 16:25:15,0.7230902779999999,
KALAVAKKAM,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-2.0,20052019,SAIDAPET  ,SAIDAPET  ,SIRUCHERI ,UP,19B-T-AM-MDE,19B,MDE,MP15458A,J1000,9,2020-06-23 16:25:15,0.7230902779999999,
THIRUPPORU,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,20052019,SAIDAPET  ,SAIDAPET  ,SIRUCHERI ,UP,19B-T-AM-MDE,19B,MDE,MP15458A,J1000,9,2020-06-23 16:25:15,0.7230902779999999,
T.NAGAR,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,20052019,SAIDAPET  ,SAIDAPET  ,SIRUCHERI ,UP,19B-W-PM-MDE,19B,MDE,MP01271L,I2731,3,2020-06-23 18:19:31,0.809386574,
